number,incident_state,active,reassignment_count,reopen_count,sys_mod_count,made_sla,caller_id,opened_by,opened_at,sys_created_by,sys_created_at,sys_updated_by,sys_updated_at,contact_type,location,category,subcategory,symptom,impact,urgency,priority,assignment_group,assigned_to,knowledge,u_priority_confirmation,notify,closed_code,resolved_by,resolved_at,closed_at,isParent
INC0012253,Resolved,True,2,0,8,True,Caller 3450,Opened by  443,2016-03-29 01:31:00,,,Updated by 804,2016-03-30 13:17:00,Phone,Location 143,Category 20,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 66,Resolver 203,False,True,Do Not Notify,code 5,Resolved by 184,2016-03-30 13:17:00,2016-04-04 13:59:00,No
INC0013045,Resolved,True,0,0,0,True,Caller 1243,Opened by  17,2016-03-30 13:02:00,,,Updated by 908,2016-03-30 13:02:00,Phone,Location 204,Category 53,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 13,False,False,Do Not Notify,code 7,Resolved by 11,,2016-04-04 13:59:00,No
INC0013060,Closed,False,0,0,2,True,Caller 1957,Opened by  108,2016-03-30 13:40:00,,,Updated by 908,2016-04-04 13:59:00,Phone,Location 135,Category 26,Subcategory 175,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 56,False,True,Do Not Notify,code 6,Resolved by 52,2016-03-30 13:55:00,2016-04-04 13:59:00,No
INC0013043,Resolved,True,0,0,1,True,Caller 5559,Opened by  131,2016-03-30 12:55:00,,,Updated by 265,2016-03-30 13:16:00,Phone,Location 113,Category 26,Subcategory 174,Symptom 491,3 - Low,3 - Low,4 - Low,Group 70,Resolver 73,False,True,Do Not Notify,code 7,Resolved by 66,2016-03-30 13:16:00,2016-04-04 13:59:00,No
INC0009149,Resolved,True,1,0,7,True,Caller 2079,Opened by  443,2016-03-21 01:00:00,Created by 192,2016-03-21 01:01:00,Updated by 277,2016-03-30 13:06:00,Phone,Location 108,Category 46,Subcategory 223,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 55,Resolver 84,False,True,Do Not Notify,code 8,Resolved by 77,2016-03-30 13:06:00,2016-04-04 13:59:00,No
INC0012029,Closed,False,1,0,5,True,Caller 2975,,2016-03-28 14:11:00,Created by 89,2016-03-28 14:15:00,Updated by 908,2016-04-04 13:59:00,Phone,Location 93,Category 53,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 23,Resolver 69,False,True,Do Not Notify,code 6,Resolved by 62,2016-03-30 13:28:00,2016-04-04 13:59:00,No
INC0009146,Resolved,True,3,0,10,True,Caller 1336,Opened by  443,2016-03-21 00:28:00,Created by 192,2016-03-21 00:30:00,Updated by 277,2016-03-30 13:05:00,Phone,Location 161,Category 46,Subcategory 223,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 55,Resolver 84,False,True,Do Not Notify,code 8,Resolved by 77,2016-03-30 13:05:00,2016-04-04 13:59:00,No
INC0010547,Closed,False,1,0,7,False,Caller 4039,Opened by  55,2016-03-23 13:30:00,Created by 30,2016-03-23 13:39:00,Updated by 908,2016-04-04 13:59:00,Phone,Location 108,Category 46,Subcategory 223,,2 - Medium,2 - Medium,3 - Moderate,Group 55,Resolver 84,False,True,Do Not Notify,code 8,Resolved by 77,2016-03-30 13:04:00,2016-04-04 13:59:00,No
INC0013031,Resolved,True,0,0,0,True,Caller 3514,Opened by  55,2016-03-30 12:28:00,,,Updated by 908,2016-03-30 12:28:00,Phone,Location 204,Category 26,Subcategory 175,,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 28,False,False,Do Not Notify,code 6,Resolved by 27,,2016-04-04 13:59:00,No
INC0010482,Resolved,True,0,0,8,True,Caller 3174,Opened by  59,2016-03-23 11:24:00,Created by 34,2016-03-23 11:30:00,Updated by 833,2016-03-30 13:45:00,Phone,Location 93,Category 24,Subcategory 164,Symptom 102,2 - Medium,2 - Medium,3 - Moderate,Group 23,Resolver 215,False,True,Do Not Notify,code 6,Resolved by 196,2016-03-30 13:45:00,2016-04-04 13:59:00,No
INC0008962,Resolved,True,4,0,10,True,Caller 4985,Opened by  17,2016-03-18 17:45:00,Created by 10,2016-03-18 17:54:00,Updated by 133,2016-03-24 11:52:00,Phone,Location 108,Category 57,Subcategory 118,Symptom 10,2 - Medium,2 - Medium,3 - Moderate,,Resolver 33,False,True,Do Not Notify,code 6,Resolved by 32,2016-03-30 13:34:00,2016-04-04 13:59:00,No
INC0008730,Closed,False,3,0,9,False,Caller 492,Opened by  17,2016-03-18 11:21:00,Created by 10,2016-03-18 11:33:00,Updated by 908,2016-04-04 13:59:00,Phone,Location 204,Category 46,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 55,Resolver 214,False,True,Do Not Notify,code 9,Resolved by 195,2016-03-30 13:47:00,2016-04-04 13:59:00,No
INC0009668,Closed,False,2,0,7,False,Caller 3379,Opened by  17,2016-03-21 16:51:00,Created by 10,2016-03-21 16:55:00,Updated by 908,2016-04-04 13:59:00,Phone,Location 204,Category 42,Subcategory 223,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 55,Resolver 214,False,True,Do Not Notify,code 9,Resolved by 195,2016-03-30 13:54:00,2016-04-04 13:59:00,No
INC0013047,Closed,False,0,0,1,True,Caller 5404,Opened by  40,2016-03-30 13:11:00,,,Updated by 908,2016-04-04 13:59:00,Phone,Location 204,Category 53,Subcategory 174,,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 23,False,False,Do Not Notify,code 6,Resolved by 21,,2016-04-04 13:59:00,No
INC0012162,Resolved,True,0,0,4,True,Caller 1816,Opened by  108,2016-03-28 16:30:00,Created by 52,2016-03-28 16:48:00,Updated by 109,2016-03-30 13:39:00,Phone,Location 161,Category 34,Subcategory 134,Symptom 102,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 24,False,True,Do Not Notify,code 6,Resolved by 22,2016-03-30 13:39:00,2016-04-04 13:59:00,No
INC0013051,Closed,False,0,0,1,True,Caller 3514,Opened by  55,2016-03-30 13:18:00,,,Updated by 908,2016-04-04 13:59:00,Phone,Location 204,Category 20,Subcategory 103,Symptom 387,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 28,False,False,Do Not Notify,code 6,Resolved by 27,,2016-04-04 13:59:00,No
INC0013053,Closed,False,0,0,1,True,Caller 4710,Opened by  17,2016-03-30 13:28:00,,,Updated by 908,2016-04-04 13:59:00,Phone,Location 51,Category 42,Subcategory 223,Symptom 534,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 13,False,False,Do Not Notify,code 6,Resolved by 11,,2016-04-04 13:59:00,No
INC0013029,Resolved,True,0,0,2,True,Caller 521,Opened by  386,2016-03-30 12:21:00,Created by 167,2016-03-30 12:24:00,Updated by 241,2016-03-30 13:27:00,Phone,Location 93,Category 53,Subcategory 174,,2 - Medium,2 - Medium,3 - Moderate,Group 23,Resolver 69,False,True,Do Not Notify,code 6,Resolved by 62,2016-03-30 13:27:00,2016-04-04 13:59:00,No
INC0013055,Closed,False,1,0,3,True,Caller 4841,Opened by  108,2016-03-30 13:32:00,,,Updated by 908,2016-04-04 13:59:00,Phone,Location 161,Category 23,Subcategory 174,,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 56,False,True,Do Not Notify,code 6,Resolved by 52,2016-03-30 13:40:00,2016-04-04 13:59:00,No
INC0013021,Closed,False,0,0,4,True,Caller 3685,Opened by  354,2016-03-30 11:59:00,Created by 151,2016-03-30 12:01:00,Updated by 908,2016-04-04 13:59:00,Phone,Location 143,Category 42,Subcategory 29,Symptom 491,3 - Low,2 - Medium,4 - Low,Group 55,Resolver 214,False,True,Do Not Notify,code 9,Resolved by 195,2016-03-30 13:10:00,2016-04-04 13:59:00,No
INC0013056,Resolved,True,0,0,2,True,Caller 5131,Opened by  17,2016-03-30 13:34:00,,,Updated by 44,2016-03-30 13:51:00,Phone,Location 161,Category 26,Subcategory 175,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 13,False,True,Do Not Notify,code 7,Resolved by 11,2016-03-30 13:51:00,2016-04-04 13:59:00,No
INC0011871,Resolved,True,2,0,4,True,Caller 4734,Opened by  24,2016-03-28 11:01:00,Created by 13,2016-03-28 11:04:00,Updated by 277,2016-03-30 13:07:00,Phone,Location 43,Category 44,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 55,Resolver 84,False,True,Do Not Notify,code 8,Resolved by 77,2016-03-30 13:07:00,2016-04-04 13:59:00,No
INC0010755,Closed,False,0,0,6,False,Caller 770,Opened by  17,2016-03-23 17:55:00,,,Updated by 908,2016-04-04 13:59:00,Phone,Location 93,Category 20,Subcategory 103,Symptom 387,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 115,False,True,Do Not Notify,code 9,Resolved by 103,2016-03-30 13:47:00,2016-04-04 13:59:00,No
INC0013054,Closed,False,0,0,1,True,Caller 512,Opened by  17,2016-03-30 13:29:00,,,Updated by 908,2016-04-04 13:59:00,Phone,Location 93,Category 42,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 13,False,False,Do Not Notify,code 7,Resolved by 11,,2016-04-04 13:59:00,No
INC0012652,Closed,False,0,0,3,True,Caller 5025,,2016-03-29 15:33:00,Created by 89,2016-03-29 15:44:00,Updated by 908,2016-04-04 14:59:00,Phone,Location 51,Category 46,Subcategory 223,,2 - Medium,2 - Medium,3 - Moderate,Group 39,Resolver 194,False,True,Do Not Notify,code 6,Resolved by 177,2016-03-30 14:16:00,2016-04-04 14:59:00,No
INC0011987,Resolved,True,2,0,4,True,Caller 2599,Opened by  55,2016-03-28 13:27:00,Created by 30,2016-03-28 13:39:00,Updated by 60,2016-03-30 14:31:00,Phone,Location 161,Category 20,Subcategory 125,Symptom 517,2 - Medium,2 - Medium,3 - Moderate,,Resolver 17,False,True,Do Not Notify,code 6,Resolved by 15,2016-03-30 14:31:00,2016-04-04 14:59:00,No
INC0011975,Resolved,True,0,0,4,True,Caller 798,Opened by  501,2016-03-28 13:12:00,Created by 216,2016-03-28 13:14:00,Updated by 60,2016-03-30 14:15:00,Phone,Location 37,Category 37,Subcategory 135,,2 - Medium,2 - Medium,3 - Moderate,,Resolver 17,False,True,Do Not Notify,code 6,Resolved by 15,2016-03-30 14:15:00,2016-04-04 14:59:00,No
INC0013094,Closed,False,0,0,1,True,Caller 3794,Opened by  500,2016-03-30 14:32:00,,,Updated by 908,2016-04-04 14:59:00,Phone,Location 93,Category 20,Subcategory 103,Symptom 387,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 232,False,False,Do Not Notify,code 9,Resolved by 211,,2016-04-04 14:59:00,No
INC0003362,Closed,False,0,0,13,False,Caller 2053,Opened by  468,2016-03-07 11:33:00,Created by 188,2016-03-07 11:34:00,Updated by 908,2016-04-04 14:59:00,Phone,Location 232,Category 45,Subcategory 150,Symptom 287,2 - Medium,2 - Medium,3 - Moderate,Group 10,Resolver 200,False,True,Do Not Notify,code 6,Resolved by 182,2016-03-30 14:07:00,2016-04-04 14:59:00,No
INC0012807,Resolved,True,0,0,4,True,Caller 2691,Opened by  40,2016-03-30 08:06:00,Created by 20,2016-03-30 08:07:00,Updated by 994,2016-03-30 14:14:00,Phone,Location 161,Category 53,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 253,False,True,Do Not Notify,code 6,Resolved by 231,2016-03-30 14:14:00,2016-04-04 14:59:00,No
INC0009580,Resolved,True,2,0,7,True,Caller 1237,Opened by  17,2016-03-21 15:03:00,Created by 10,2016-03-21 15:11:00,Updated by 860,2016-03-30 14:14:00,Phone,Location 108,Category 42,Subcategory 223,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 55,Resolver 214,False,True,Do Not Notify,code 9,Resolved by 195,2016-03-30 14:14:00,2016-04-04 14:59:00,No
INC0002804,Closed,False,6,0,20,False,Caller 1647,Opened by  8,2016-03-05 05:24:00,,,Updated by 908,2016-04-04 14:59:00,Phone,Location 161,Category 45,Subcategory 223,Symptom 240,1 - High,2 - Medium,2 - High,Group 70,Resolver 13,True,True,Do Not Notify,code 6,Resolved by 11,2016-03-30 14:27:00,2016-04-04 14:59:00,No
INC0013048,Closed,False,0,0,1,True,Caller 169,Opened by  500,2016-03-30 13:13:00,,,Updated by 908,2016-04-04 14:59:00,Phone,Location 143,Category 9,Subcategory 164,Symptom 571,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 232,False,False,Do Not Notify,code 9,Resolved by 211,,2016-04-04 14:59:00,No
INC0009403,Resolved,True,1,0,5,True,Caller 3320,Opened by  8,2016-03-21 11:27:00,Created by 6,2016-03-21 11:30:00,Updated by 860,2016-03-30 14:18:00,Phone,Location 143,Category 46,Subcategory 223,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 55,Resolver 214,False,True,Do Not Notify,code 9,Resolved by 195,2016-03-30 14:18:00,2016-04-04 14:59:00,No
INC0012809,Closed,False,1,0,7,True,Caller 2691,Opened by  40,2016-03-30 08:08:00,Created by 20,2016-03-30 08:09:00,Updated by 908,2016-04-04 14:59:00,Phone,Location 161,Category 23,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 253,False,True,Do Not Notify,code 6,Resolved by 231,2016-03-30 14:17:00,2016-04-04 14:59:00,No
INC0013064,Resolved,True,0,0,0,True,Caller 3701,Opened by  55,2016-03-30 13:52:00,,,Updated by 908,2016-03-30 13:52:00,Phone,Location 108,Category 32,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 28,False,False,Do Not Notify,code 6,Resolved by 27,,2016-04-04 14:59:00,No
INC0012877,Resolved,True,2,0,4,True,Caller 4239,,2016-03-30 09:18:00,Created by 89,2016-03-30 09:26:00,Updated by 748,2016-03-30 14:24:00,Phone,Location 93,Category 32,Subcategory 174,,2 - Medium,2 - Medium,3 - Moderate,Group 39,Resolver 194,False,True,Do Not Notify,code 6,Resolved by 177,2016-03-30 14:24:00,2016-04-04 14:59:00,No
INC0011902,Closed,False,1,0,5,True,Caller 4481,,2016-03-28 11:32:00,Created by 89,2016-03-28 11:37:00,Updated by 908,2016-04-04 14:59:00,Phone,Location 161,Category 20,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 253,False,True,Do Not Notify,code 6,Resolved by 231,2016-03-30 14:49:00,2016-04-04 14:59:00,No
INC0013083,Resolved,True,0,0,0,True,Caller 2135,Opened by  17,2016-03-30 14:14:00,,,Updated by 908,2016-03-30 14:14:00,Phone,Location 143,Category 32,Subcategory 9,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 13,False,False,Do Not Notify,code 6,Resolved by 11,,2016-04-04 14:59:00,No
INC0012640,Closed,False,0,0,2,True,Caller 3729,Opened by  17,2016-03-29 15:16:00,Created by 10,2016-03-29 15:21:00,Updated by 908,2016-04-04 14:59:00,Phone,Location 209,Category 24,Subcategory 164,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 25,Resolver 140,False,True,Do Not Notify,code 6,Resolved by 126,2016-03-30 14:46:00,2016-04-04 14:59:00,No
INC0013090,Resolved,True,0,0,0,True,Caller 3189,Opened by  17,2016-03-30 14:26:00,,,Updated by 908,2016-03-30 14:26:00,Phone,Location 108,Category 42,Subcategory 223,Symptom 534,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 13,False,False,Do Not Notify,code 6,Resolved by 11,,2016-04-04 14:59:00,No
INC0013099,Closed,False,0,0,1,True,Caller 298,Opened by  62,2016-03-30 14:41:00,,,Updated by 908,2016-04-04 14:59:00,Phone,Location 143,Category 42,Subcategory 223,,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 33,False,False,Do Not Notify,code 6,Resolved by 32,,2016-04-04 14:59:00,No
INC0013071,Resolved,True,0,0,0,True,Caller 3701,Opened by  55,2016-03-30 14:04:00,,,Updated by 908,2016-03-30 14:04:00,Phone,Location 108,Category 53,Subcategory 174,,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 28,False,False,Do Not Notify,code 6,Resolved by 27,,2016-04-04 14:59:00,No
INC0003788,Closed,False,7,0,21,False,Caller 1995,,2016-03-07 17:03:00,,,Updated by 908,2016-04-04 14:59:00,Phone,Location 96,Category 24,Subcategory 30,Symptom 51,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 13,True,True,Do Not Notify,code 6,Resolved by 11,2016-03-30 14:33:00,2016-04-04 14:59:00,No
INC0012513,Resolved,True,1,0,10,True,Caller 1182,Opened by  108,2016-03-29 12:03:00,Created by 52,2016-03-29 12:19:00,Updated by 833,2016-03-30 14:02:00,Phone,Location 93,Category 26,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 23,Resolver 215,False,True,Do Not Notify,code 6,Resolved by 196,2016-03-30 14:02:00,2016-04-04 14:59:00,No
INC0004459,Resolved,True,11,0,26,True,Caller 5030,Opened by  386,2016-03-08 16:51:00,Created by 167,2016-03-08 16:59:00,Updated by 44,2016-03-30 14:37:00,Phone,Location 143,Category 23,Subcategory 3,,2 - Medium,2 - Medium,3 - Moderate,,Resolver 13,True,True,Do Not Notify,code 6,Resolved by 11,2016-03-30 14:37:00,2016-04-04 14:59:00,No
INC0012432,Closed,False,1,0,4,True,Caller 3324,Opened by  17,2016-03-29 10:50:00,Created by 10,2016-03-29 10:58:00,Updated by 908,2016-04-04 14:59:00,Phone,Location 56,Category 46,Subcategory 259,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 6,Resolver 22,True,True,Do Not Notify,code 6,Resolved by 20,2016-03-30 14:23:00,2016-04-04 14:59:00,No
INC0012915,Resolved,True,0,0,1,True,Caller 921,Opened by  17,2016-03-30 09:57:00,Created by 10,2016-03-30 10:12:00,Updated by 748,2016-03-30 14:54:00,Phone,Location 143,Category 32,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 39,Resolver 194,False,True,Do Not Notify,code 6,Resolved by 177,2016-03-30 14:54:00,2016-04-04 14:59:00,No
INC0010925,Resolved,True,0,0,3,True,Caller 3664,Opened by  301,2016-03-24 10:02:00,Created by 129,2016-03-24 10:07:00,Updated by 526,2016-03-30 14:21:00,Phone,Location 36,Category 46,Subcategory 254,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 22,Resolver 133,False,True,Do Not Notify,code 6,Resolved by 119,2016-03-30 14:21:00,2016-04-04 14:59:00,No
INC0012957,Resolved,True,0,0,2,True,Caller 3808,Opened by  369,2016-03-30 10:35:00,Created by 148,2016-03-30 10:38:00,Updated by 277,2016-03-30 14:35:00,Phone,Location 199,Category 42,Subcategory 29,Symptom 491,3 - Low,3 - Low,4 - Low,Group 55,Resolver 84,False,True,Do Not Notify,code 8,Resolved by 77,2016-03-30 14:35:00,2016-04-04 14:59:00,No
INC0012870,Closed,False,1,0,4,True,Caller 1563,,2016-03-30 09:12:00,,,Updated by 908,2016-04-04 14:59:00,Phone,Location 143,Category 53,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 13,False,True,Do Not Notify,code 7,Resolved by 11,2016-03-30 14:08:00,2016-04-04 14:59:00,No
INC0010570,Closed,False,2,0,6,False,Caller 5016,Opened by  390,2016-03-23 14:02:00,,,Updated by 908,2016-04-04 14:59:00,Phone,Location 51,Category 26,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 149,False,True,Do Not Notify,code 9,Resolved by 133,2016-03-30 14:51:00,2016-04-04 14:59:00,No
INC0011672,Closed,False,1,0,4,True,Caller 4682,Opened by  8,2016-03-28 08:37:00,Created by 6,2016-03-28 08:40:00,Updated by 908,2016-04-04 14:59:00,Phone,Location 204,Category 19,Subcategory 4,Symptom 311,2 - Medium,2 - Medium,3 - Moderate,Group 25,Resolver 140,False,True,Do Not Notify,code 6,Resolved by 126,2016-03-30 14:54:00,2016-04-04 14:59:00,No
INC0007224,Resolved,True,4,0,17,True,Caller 962,Opened by  17,2016-03-15 11:28:00,Created by 10,2016-03-15 11:31:00,Updated by 241,2016-03-30 14:21:00,Phone,Location 40,Category 53,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 23,Resolver 69,False,True,Do Not Notify,code 6,Resolved by 62,2016-03-30 14:21:00,2016-04-04 14:59:00,No
INC0006843,Closed,False,6,0,18,False,Caller 3072,Opened by  17,2016-03-14 15:34:00,,,Updated by 908,2016-04-04 14:59:00,Phone,Location 33,Category 42,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 17,False,True,Do Not Notify,code 7,Resolved by 15,2016-03-30 14:39:00,2016-04-04 14:59:00,No
INC0005201,Resolved,True,5,0,20,True,Caller 3620,Opened by  501,2016-03-10 09:03:00,Created by 216,2016-03-10 09:30:00,Updated by 44,2016-03-30 14:48:00,Phone,Location 168,Category 23,Subcategory 75,Symptom 455,2 - Medium,2 - Medium,3 - Moderate,,Resolver 13,True,True,Do Not Notify,code 6,Resolved by 11,2016-03-30 14:48:00,2016-04-04 14:59:00,No
INC0012659,Closed,False,0,0,3,True,Caller 3436,Opened by  322,2016-03-29 15:45:00,,,Updated by 908,2016-04-04 14:59:00,Phone,Location 51,Category 19,Subcategory 163,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 72,Resolver 123,False,True,Do Not Notify,code 6,Resolved by 111,2016-03-30 14:46:00,2016-04-04 14:59:00,No
INC0013103,Closed,False,0,0,1,True,Caller 4860,Opened by  55,2016-03-30 14:43:00,,,Updated by 908,2016-04-04 14:59:00,Phone,Location 86,Category 32,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 28,False,False,Do Not Notify,code 6,Resolved by 27,,2016-04-04 14:59:00,No
INC0004728,Closed,False,2,0,14,False,Caller 2102,Opened by  40,2016-03-09 10:28:00,Created by 20,2016-03-09 10:44:00,Updated by 908,2016-04-04 14:59:00,Phone,Location 135,Category 37,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 49,Resolver 120,True,True,Do Not Notify,code 6,Resolved by 108,2016-03-30 14:31:00,2016-04-04 14:59:00,No
INC0010103,Closed,False,1,0,9,False,Caller 3795,,2016-03-22 15:01:00,Created by 89,2016-03-22 15:06:00,Updated by 908,2016-04-04 14:59:00,Phone,Location 161,Category 26,Subcategory 275,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,,Resolver 17,False,True,Do Not Notify,code 6,Resolved by 15,2016-03-30 14:00:00,2016-04-04 14:59:00,No
INC0003550,Closed,False,0,0,11,False,Caller 3326,Opened by  468,2016-03-07 13:42:00,Created by 188,2016-03-07 13:45:00,Updated by 908,2016-04-04 14:59:00,Phone,Location 43,Category 45,Subcategory 150,Symptom 287,2 - Medium,2 - Medium,3 - Moderate,Group 10,Resolver 200,False,True,Do Not Notify,code 6,Resolved by 182,2016-03-30 14:53:00,2016-04-04 14:59:00,No
INC0012020,Closed,False,3,0,6,True,Caller 2305,Opened by  24,2016-03-28 14:02:00,,,Updated by 908,2016-04-04 14:59:00,Phone,Location 161,Category 40,Subcategory 44,Symptom 598,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 17,False,True,Do Not Notify,code 6,Resolved by 15,2016-03-30 14:38:00,2016-04-04 14:59:00,No
INC0011236,Resolved,True,1,0,4,True,Caller 4185,Opened by  62,2016-03-24 16:37:00,Created by 33,2016-03-24 16:54:00,Updated by 526,2016-03-30 14:25:00,Phone,Location 233,Category 46,Subcategory 251,Symptom 218,2 - Medium,2 - Medium,3 - Moderate,Group 22,Resolver 133,False,True,Do Not Notify,code 6,Resolved by 119,2016-03-30 14:25:00,2016-04-04 14:59:00,No
INC0011088,Resolved,True,1,0,9,True,Caller 5175,Opened by  17,2016-03-24 13:25:00,Created by 10,2016-03-24 13:32:00,Updated by 137,2016-03-30 14:11:00,Phone,Location 108,Category 24,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 27,Resolver 34,False,True,Do Not Notify,code 6,Resolved by 33,2016-03-30 14:11:00,2016-04-04 14:59:00,No
INC0013110,Closed,False,0,0,1,True,Caller 1262,Opened by  24,2016-03-30 14:52:00,,,Updated by 908,2016-04-04 14:59:00,Phone,Location 204,Category 20,Subcategory 103,Symptom 387,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 17,False,False,Do Not Notify,code 6,Resolved by 15,,2016-04-04 14:59:00,No
INC0012963,Closed,False,1,0,6,True,Caller 1776,Opened by  168,2016-03-30 10:39:00,,,Updated by 908,2016-04-04 14:59:00,Phone,Location 161,Category 23,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 72,Resolver 123,False,True,Do Not Notify,code 6,Resolved by 111,2016-03-30 14:28:00,2016-04-04 14:59:00,No
INC0012964,Resolved,True,0,0,2,True,Caller 3067,,2016-03-30 10:41:00,Created by 89,2016-03-30 10:46:00,Updated by 526,2016-03-30 14:00:00,Phone,Location 54,Category 46,Subcategory 248,Symptom 267,2 - Medium,2 - Medium,3 - Moderate,Group 57,Resolver 133,False,True,Do Not Notify,code 6,Resolved by 119,2016-03-30 14:00:00,2016-04-04 14:59:00,No
INC0012040,Closed,False,3,0,6,True,Caller 1262,Opened by  17,2016-03-28 14:22:00,Created by 10,2016-03-28 14:36:00,Updated by 908,2016-04-04 14:59:00,Phone,Location 204,Category 37,Subcategory 135,Symptom 127,2 - Medium,2 - Medium,3 - Moderate,,Resolver 17,False,True,Do Not Notify,code 6,Resolved by 15,2016-03-30 14:50:00,2016-04-04 14:59:00,No
INC0012943,Closed,False,0,0,6,True,Caller 3757,,2016-03-30 10:17:00,,,Updated by 908,2016-04-04 14:59:00,Phone,Location 46,Category 20,Subcategory 174,,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 232,False,True,Do Not Notify,code 11,Resolved by 211,2016-03-30 14:31:00,2016-04-04 14:59:00,No
INC0001724,Closed,False,3,0,16,False,Caller 2764,Opened by  301,2016-03-03 10:09:00,,,Updated by 908,2016-04-04 14:59:00,Phone,Location 143,Category 42,Subcategory 31,,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 13,True,True,Do Not Notify,code 6,Resolved by 11,2016-03-30 14:17:00,2016-04-04 14:59:00,No
INC0013106,Closed,False,0,0,1,True,Caller 1262,Opened by  24,2016-03-30 14:50:00,,,Updated by 908,2016-04-04 14:59:00,Phone,Location 204,Category 42,Subcategory 223,Symptom 65,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 17,False,False,Do Not Notify,code 6,Resolved by 15,,2016-04-04 14:59:00,No
INC0011684,Closed,False,2,0,4,True,Caller 3763,Opened by  360,2016-03-28 08:50:00,Created by 164,2016-03-28 09:17:00,Updated by 908,2016-04-04 15:59:00,Phone,Location 199,Category 42,Subcategory 223,,2 - Medium,2 - Medium,3 - Moderate,Group 39,Resolver 194,False,True,Do Not Notify,code 6,Resolved by 177,2016-03-30 15:18:00,2016-04-04 15:59:00,No
INC0013015,Closed,False,1,0,3,True,Caller 2972,Opened by  17,2016-03-30 11:54:00,Created by 10,2016-03-30 12:13:00,Updated by 908,2016-04-04 15:59:00,Phone,Location 51,Category 42,Subcategory 223,Symptom 534,2 - Medium,2 - Medium,3 - Moderate,Group 39,Resolver 194,False,True,Do Not Notify,code 6,Resolved by 177,2016-03-30 15:39:00,2016-04-04 15:59:00,No
